# x_m,y_m,w_tr_right_m,w_tr_left_m
6.2935,-19.0208,1.8164,1.8164
6.2935,-18.9708,1.8039,1.8039
6.2435,-18.9208,1.8416,1.8416
6.2435,-18.8708,1.8320,1.8320
6.2435,-18.8208,1.8235,1.8235
6.2435,-18.7708,1.8164,1.8164
6.2435,-18.7208,1.8039,1.8039
6.2435,-18.6708,1.7927,1.7927
6.2435,-18.6208,1.7828,1.7828
6.1935,-18.5708,1.8235,1.8235
6.1935,-18.5208,1.8164,1.8164
6.1935,-18.4708,1.8039,1.8039
6.1935,-18.4208,1.7927,1.7927
6.1435,-18.3708,1.8320,1.8320
6.1435,-18.3208,1.8235,1.8235
6.1435,-18.2708,1.8164,1.8164
6.1435,-18.2208,1.8039,1.8039
6.1435,-18.1708,1.7927,1.7927
6.1435,-18.1208,1.7828,1.7828
6.1435,-18.0708,1.7742,1.7742
6.1435,-18.0208,1.7668,1.7668
6.0935,-17.9708,1.8105,1.8105
6.0935,-17.9208,1.8059,1.8059
6.0935,-17.8708,1.8026,1.8026
6.0935,-17.8208,1.7927,1.7927
6.0935,-17.7708,1.7828,1.7828
6.0935,-17.7208,1.7742,1.7742
6.0935,-17.6708,1.7668,1.7668
6.0935,-17.6208,1.7608,1.7608
6.0935,-17.5708,1.7561,1.7561
6.0935,-17.5208,1.7527,1.7527
6.0435,-17.4708,1.8007,1.8007
6.0435,-17.4208,1.8000,1.8000
6.0435,-17.3708,1.8000,1.8000
6.0435,-17.3208,1.7927,1.7927
6.0435,-17.2708,1.7828,1.7828
6.0435,-17.2208,1.7742,1.7742
6.0435,-17.1708,1.7668,1.7668
6.0435,-17.1208,1.7608,1.7608
6.0435,-17.0708,1.7561,1.7561
6.0435,-17.0208,1.7527,1.7527
6.0435,-16.9708,1.7507,1.7507
6.0435,-16.9208,1.7500,1.7500
5.9935,-16.8708,1.8000,1.8000
5.9935,-16.8208,1.8000,1.8000
5.9935,-16.7708,1.8000,1.8000
5.9935,-16.7208,1.8000,1.8000
5.9935,-16.6708,1.8000,1.8000
5.9935,-16.6208,1.8000,1.8000
